tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
780,2019-10-12 00:04:16.2290,2019-10-12 00:17:17.1730,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,195,Child St at North St,42.37150494100319,-71.07249312120985,4670,Subscriber,1988,2,61687,-71.11429663149991,42.37696183674008,101602,-71.06962558874648,42.3702569311692,432256.0,433037.0,True,True
607,2019-10-12 00:06:41.3590,2019-10-12 00:16:48.8690,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,378,191 Beacon St,42.380323350454155,-71.10878612855231,5782,Subscriber,1994,0,257905,-71.11909162814842,42.37345399066521,15320,-71.11195858325091,42.38015810497712,432401.0,433008.0,True,True
399,2019-10-12 00:13:43.0320,2019-10-12 00:20:22.2090,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,4502,Subscriber,1990,1,135800,-71.10394196186917,42.36261783932951,102897,-71.09908871691306,42.3711934002712,432823.0,433222.0,True,True
1286,2019-10-12 00:22:05.2650,2019-10-12 00:43:31.6530,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,5720,Subscriber,1997,1,118961,-71.12270712899965,42.381830527940615,87930,-71.1030871014393,42.373230266078856,433325.0,434611.0,True,True
266,2019-10-12 00:27:08.2650,2019-10-12 00:31:35.0010,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,5294,Customer,1969,0,6608,-71.12197930111296,42.375459936024896,96622,-71.1164539688717,42.37004870737536,433628.0,433895.0,True,True
559,2019-10-12 00:31:16.2030,2019-10-12 00:40:36.1930,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002,3196,Subscriber,1996,1,20701,-71.09647886968763,42.369047736667426,257845,-71.07412786623485,42.37041268373983,433876.0,434436.0,True,True
427,2019-10-12 00:32:05.6400,2019-10-12 00:39:13.2270,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,4821,Subscriber,1989,1,246633,-71.11887901728562,42.37788834812375,257080,-71.12034486376676,42.37290098540768,433925.0,434353.0,True,True
293,2019-10-12 00:32:46.9830,2019-10-12 00:37:40.9670,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,5014,Subscriber,1994,1,11389,-71.09903357106795,42.3682518794574,85573,-71.10026859263128,42.36015449581615,433966.0,434260.0,True,True
392,2019-10-12 00:40:27.1400,2019-10-12 00:46:59.3410,189,Kendall T,42.362427842912396,-71.08495473861693,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,6076,Subscriber,1997,1,203985,-71.08662682386243,42.36103454178034,202848,-71.10451271728128,42.36031667522556,434427.0,434819.0,True,True
299,2019-10-12 00:40:38.7140,2019-10-12 00:45:38.5650,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,177,University Park,42.36264779118595,-71.1000609397888,3831,Subscriber,1990,1,183135,-71.08947036811685,42.37125140855617,133746,-71.0995505945585,42.36526811879806,434438.0,434738.0,True,True
618,2019-10-12 00:59:49.8230,2019-10-12 01:10:08.7340,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3900,Subscriber,1990,1,11095,-71.08875725,42.373213,134139,-71.1025353,42.3667081,435589.0,436208.0,True,True
376,2019-10-12 01:03:04.0420,2019-10-12 01:09:20.4860,107,Ames St at Main St,42.3625,-71.08821999999998,179,MIT Vassar St,42.35560121327927,-71.10394477844237,3818,Subscriber,1982,1,203985,-71.08662682386243,42.36103454178034,259941,-71.10599361625933,42.35680583755271,435784.0,436160.0,True,True
475,2019-10-12 01:06:27.4620,2019-10-12 01:14:22.8620,318,Ames St at Broadway,42.3636929,-71.0875672,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4798,Subscriber,1993,1,203988,-71.08749692110743,42.36175462581353,39989,-71.10509196004735,42.355337055177046,435987.0,436462.0,True,True
301,2019-10-12 01:07:07.8180,2019-10-12 01:12:09.3120,189,Kendall T,42.362427842912396,-71.08495473861693,177,University Park,42.36264779118595,-71.1000609397888,4144,Subscriber,1979,1,187323,-71.08524969535532,42.36268231835431,225382,-71.10321694999998,42.362879799999995,436027.0,436329.0,True,True
372,2019-10-12 01:08:11.2910,2019-10-12 01:14:23.7550,318,Ames St at Broadway,42.3636929,-71.0875672,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4264,Subscriber,1984,1,258221,-71.08623358270239,42.36270448453545,60614,-71.09974326955741,42.36494244238817,436091.0,436463.0,True,True
323,2019-10-12 01:10:33.4410,2019-10-12 01:15:57.3740,318,Ames St at Broadway,42.3636929,-71.0875672,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,4108,Subscriber,1989,1,202849,-71.08585858461151,42.362140702146775,59167,-71.1042864,42.36108035000001,436233.0,436557.0,True,True
911,2019-10-12 01:11:21.5620,2019-10-12 01:26:33.4920,115,Porter Square Station,42.387995,-71.119084,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,5885,Subscriber,1990,1,133933,-71.12236683780205,42.38729695499665,65891,-71.09576140692769,42.37166119347583,436281.0,437193.0,True,True
164,2019-10-12 01:19:16.9990,2019-10-12 01:22:01.8600,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4157,Subscriber,1993,1,4367,-71.09198390103313,42.36068363166313,259990,-71.09386902169051,42.35656736589055,436756.0,436921.0,True,True
177,2019-10-12 01:27:39.5340,2019-10-12 01:30:36.7070,177,University Park,42.36264779118595,-71.1000609397888,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,4144,Subscriber,1983,1,55718,-71.10339658156904,42.36326816668839,166917,-71.10380374989646,42.35883004125507,437259.0,437436.0,True,True
519,2019-10-12 01:34:06.1110,2019-10-12 01:42:45.9380,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,4847,Subscriber,1996,1,92261,-71.08241273757629,42.37034862514084,121890,-71.1037918271778,42.36300865119475,437646.0,438165.0,True,True
265,2019-10-12 01:34:08.6180,2019-10-12 01:38:33.6250,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,185,Third at Binney,42.365444861374,-71.08277142047879,2749,Subscriber,1997,1,103006,-71.08589027796229,42.36840894076109,225198,-71.08482477872192,42.36580044636454,437648.0,437913.0,True,True
813,2019-10-12 01:40:16.4330,2019-10-12 01:53:49.9050,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,115,Porter Square Station,42.387995,-71.119084,3234,Customer,1994,1,182272,-71.10805210454994,42.36683508194262,6084,-71.12012688548552,42.38581164683388,438016.0,438829.0,True,True
48986,2019-10-12 01:42:28.1020,2019-10-12 15:18:54.8420,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,115,Porter Square Station,42.387995,-71.119084,2842,Customer,1969,0,259947,-71.10422952246857,42.36605828361537,32918,-71.12003294375808,42.38986630057161,438148.0,487134.0,True,True
774,2019-10-12 01:42:43.3720,2019-10-12 01:55:37.6180,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.10549499999998,115,Porter Square Station,42.387995,-71.119084,3823,Subscriber,1994,1,203690,-71.10382845930278,42.367309345164564,118407,-71.12088355730391,42.38593287138188,438163.0,438937.0,True,True
