tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
240,2019-10-07 00:07:25.9850,2019-10-07 00:11:26.2400,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5414,Subscriber,1997,1,161771,-71.1046134376857,42.36311807002641,245937,-71.09397792775782,42.358376181216016,445.0,686.0,True,True
230,2019-10-07 00:18:09.0240,2019-10-07 00:21:59.9900,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3723,Subscriber,1991,1,49516,-71.08485553741815,42.361173767357776,127624,-71.09372986888759,42.3662810700306,1089.0,1319.0,True,True
382,2019-10-07 00:41:35.8970,2019-10-07 00:47:58.5430,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,318,Ames St at Broadway,42.3636929,-71.0875672,3894,Subscriber,1991,1,124918,-71.09382272195718,42.35725043995431,202175,-71.08865214398864,42.36359773478792,2495.0,2878.0,True,True
222,2019-10-07 00:54:29.8710,2019-10-07 00:58:12.7260,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4847,Subscriber,1998,1,28860,-71.09781444400156,42.36431266987962,201810,-71.09018308691114,42.35878748587819,3269.0,3492.0,True,True
443,2019-10-07 01:02:22.9890,2019-10-07 01:09:46.6800,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,5414,Subscriber,1998,2,4325,-71.0934274618204,42.357644907021474,101756,-71.09530760688746,42.3663134754421,3742.0,4186.0,True,True
273,2019-10-07 02:51:34.4460,2019-10-07 02:56:08.2650,318,Ames St at Broadway,42.3636929,-71.0875672,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,2613,Subscriber,1992,1,203988,-71.08749692110743,42.36175462581353,54030,-71.09843359000567,42.366344501932716,10294.0,10568.0,True,True
508,2019-10-07 05:43:54.3570,2019-10-07 05:52:23.1630,179,MIT Vassar St,42.35560121327927,-71.10394477844237,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,6137,Subscriber,1981,1,4355,-71.10462055483289,42.35492351909196,4877,-71.10035890000002,42.365752500000006,20634.0,21143.0,True,True
453,2019-10-07 06:05:21.4720,2019-10-07 06:12:55.3940,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,3152,Subscriber,1987,1,225232,-71.1030282672048,42.35700105442125,4332,-71.08353676665315,42.36120872579808,21921.0,22375.0,True,True
696,2019-10-07 06:13:18.2810,2019-10-07 06:24:54.8000,189,Kendall T,42.362427842912396,-71.08495473861693,179,MIT Vassar St,42.35560121327927,-71.10394477844237,3152,Subscriber,1991,1,260668,-71.08176385092969,42.362842278261155,158855,-71.10620264999999,42.3576818,22398.0,23094.0,True,True
204,2019-10-07 06:32:47.6430,2019-10-07 06:36:11.9650,177,University Park,42.36264779118595,-71.1000609397888,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4345,Subscriber,1988,1,174693,-71.10344780414134,42.36283171656914,201824,-71.09375344290599,42.360189607699375,23567.0,23771.0,True,True
465,2019-10-07 06:36:30.5630,2019-10-07 06:44:15.8140,189,Kendall T,42.362427842912396,-71.08495473861693,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,4736,Subscriber,1958,1,245878,-71.08788993422861,42.36149681089946,137248,-71.10002976898393,42.3617496097642,23790.0,24255.0,True,True
457,2019-10-07 06:44:19.5270,2019-10-07 06:51:57.0690,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,177,University Park,42.36264779118595,-71.1000609397888,4072,Subscriber,1991,2,184240,-71.11281628318231,42.359146547206905,89955,-71.09962044422977,42.362482287889904,24259.0,24717.0,True,True
192,2019-10-07 06:47:15.6100,2019-10-07 06:50:27.7730,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,179,MIT Vassar St,42.35560121327927,-71.10394477844237,2457,Subscriber,1992,1,246345,-71.10092139888854,42.35983892125113,4355,-71.10462055483289,42.35492351909196,24435.0,24627.0,True,True
500,2019-10-07 06:53:29.1280,2019-10-07 07:01:50.0140,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,5866,Subscriber,1990,2,4359,-71.10468070286191,42.35554193189058,100970,-71.08546296894377,42.362100253557685,24809.0,25310.0,True,True
424,2019-10-07 06:55:59.1380,2019-10-07 07:03:03.9660,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,2970,Subscriber,1999,1,4355,-71.10462055483289,42.35492351909196,259917,-71.08583953175258,42.36188828648814,24959.0,25383.0,True,True
277,2019-10-07 06:56:51.7890,2019-10-07 07:01:28.9320,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,189,Kendall T,42.362427842912396,-71.08495473861693,3989,Subscriber,1996,1,144328,-71.09878963054719,42.36614104558953,203984,-71.0869282763621,42.36167284544136,25011.0,25288.0,True,True
422,2019-10-07 07:01:18.5970,2019-10-07 07:08:20.7030,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,189,Kendall T,42.362427842912396,-71.08495473861693,3184,Subscriber,1994,1,85678,-71.10144210578619,42.35879081343012,260668,-71.08176385092969,42.362842278261155,25278.0,25700.0,True,True
390,2019-10-07 07:04:07.5590,2019-10-07 07:10:38.1870,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,107,Ames St at Main St,42.3625,-71.08821999999998,5160,Subscriber,1988,1,134175,-71.1025321465018,42.36253273444685,4347,-71.0905715334518,42.3616199985925,25447.0,25838.0,True,True
275,2019-10-07 07:09:30.0620,2019-10-07 07:14:05.7750,318,Ames St at Broadway,42.3636929,-71.0875672,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3423,Subscriber,1995,1,4342,-71.08862548006081,42.361647771539594,34543,-71.10199386666044,42.367587149993355,25770.0,26045.0,True,True
631,2019-10-07 07:19:37.1660,2019-10-07 07:30:09.1040,179,MIT Vassar St,42.35560121327927,-71.10394477844237,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5364,Subscriber,1996,2,4352,-71.10347933970478,42.35434628044428,85392,-71.10149673276541,42.36666177037736,26377.0,27009.0,True,True
293,2019-10-07 07:20:40.3950,2019-10-07 07:25:33.4820,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,2352,Subscriber,1987,1,136389,-71.10080879310162,42.36061688767912,4321,-71.08981738329089,42.3600764136402,26440.0,26733.0,True,True
282,2019-10-07 07:28:58.6610,2019-10-07 07:33:40.7220,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4345,Subscriber,1988,1,201824,-71.09375344290599,42.360189607699375,37121,-71.10046486859757,42.36606309034161,26938.0,27220.0,True,True
782,2019-10-07 07:29:50.4280,2019-10-07 07:42:52.8060,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,5368,Subscriber,1961,1,121746,-71.10452531439219,42.365574570553754,161402,-71.10380297043025,42.35989892848933,26990.0,27772.0,True,True
499,2019-10-07 07:32:49.2130,2019-10-07 07:41:09.1940,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,4517,Subscriber,1993,1,134754,-71.10728784081788,42.35631378224087,153300,-71.0847225450677,42.362063254342985,27169.0,27669.0,True,True
297,2019-10-07 07:32:51.0020,2019-10-07 07:37:48.6960,177,University Park,42.36264779118595,-71.1000609397888,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,841,Subscriber,1987,2,246347,-71.10132949707042,42.36334461514631,118014,-71.10313278375693,42.35924790949849,27171.0,27468.0,True,True
442,2019-10-07 07:35:35.2070,2019-10-07 07:42:57.2490,189,Kendall T,42.362427842912396,-71.08495473861693,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4898,Subscriber,1979,1,259919,-71.08550815795559,42.36192177694763,120836,-71.10510874080063,42.36421595866348,27335.0,27777.0,True,True
390,2019-10-07 07:35:43.5370,2019-10-07 07:42:13.8510,179,MIT Vassar St,42.35560121327927,-71.10394477844237,107,Ames St at Main St,42.3625,-71.08821999999998,2457,Subscriber,1991,1,166426,-71.10597980999516,42.35755304116003,201822,-71.08985731612951,42.3607051622856,27343.0,27733.0,True,True
328,2019-10-07 07:35:43.5930,2019-10-07 07:41:12.1900,179,MIT Vassar St,42.35560121327927,-71.10394477844237,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,6087,Subscriber,1991,1,4361,-71.10359620000001,42.3556175,201825,-71.09352709793748,42.36011991473893,27343.0,27672.0,True,True
397,2019-10-07 07:38:31.9870,2019-10-07 07:45:09.6710,139,Dana Park,42.361780439606044,-71.10809952020645,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4993,Subscriber,1993,2,182367,-71.11078946026528,42.36145186897832,201825,-71.09352709793748,42.36011991473893,27511.0,27909.0,True,True
