tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time,withinC,withinCend
293,2019-10-12 00:32:46.9830,2019-10-12 00:37:40.9670,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,5014,Subscriber,1994,1,11389,-71.09903357106795,42.3682518794574,85573,-71.10026859263128,42.36015449581615,433966.0,434260.0,True,True
392,2019-10-12 00:40:27.1400,2019-10-12 00:46:59.3410,189,Kendall T,42.362427842912396,-71.08495473861693,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,6076,Subscriber,1997,1,203985,-71.08662682386243,42.36103454178034,202848,-71.10451271728128,42.36031667522556,434427.0,434819.0,True,True
376,2019-10-12 01:03:04.0420,2019-10-12 01:09:20.4860,107,Ames St at Main St,42.3625,-71.08821999999998,179,MIT Vassar St,42.35560121327927,-71.10394477844237,3818,Subscriber,1982,1,203985,-71.08662682386243,42.36103454178034,259941,-71.10599361625933,42.35680583755271,435784.0,436160.0,True,True
475,2019-10-12 01:06:27.4620,2019-10-12 01:14:22.8620,318,Ames St at Broadway,42.3636929,-71.0875672,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4798,Subscriber,1993,1,203988,-71.08749692110743,42.36175462581353,39989,-71.10509196004735,42.355337055177046,435987.0,436462.0,True,True
301,2019-10-12 01:07:07.8180,2019-10-12 01:12:09.3120,189,Kendall T,42.362427842912396,-71.08495473861693,177,University Park,42.36264779118595,-71.1000609397888,4144,Subscriber,1979,1,187323,-71.08524969535532,42.36268231835431,225382,-71.10321694999998,42.362879799999995,436027.0,436329.0,True,True
372,2019-10-12 01:08:11.2910,2019-10-12 01:14:23.7550,318,Ames St at Broadway,42.3636929,-71.0875672,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4264,Subscriber,1984,1,258221,-71.08623358270239,42.36270448453545,60614,-71.09974326955741,42.36494244238817,436091.0,436463.0,True,True
323,2019-10-12 01:10:33.4410,2019-10-12 01:15:57.3740,318,Ames St at Broadway,42.3636929,-71.0875672,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,4108,Subscriber,1989,1,202849,-71.08585858461151,42.362140702146775,59167,-71.1042864,42.36108035000001,436233.0,436557.0,True,True
164,2019-10-12 01:19:16.9990,2019-10-12 01:22:01.8600,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4157,Subscriber,1993,1,4367,-71.09198390103313,42.36068363166313,259990,-71.09386902169051,42.35656736589055,436756.0,436921.0,True,True
177,2019-10-12 01:27:39.5340,2019-10-12 01:30:36.7070,177,University Park,42.36264779118595,-71.1000609397888,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,4144,Subscriber,1983,1,55718,-71.10339658156904,42.36326816668839,166917,-71.10380374989646,42.35883004125507,437259.0,437436.0,True,True
245,2019-10-12 02:31:05.8070,2019-10-12 02:35:11.0380,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,177,University Park,42.36264779118595,-71.1000609397888,4157,Subscriber,1997,2,201810,-71.09018308691114,42.35878748587819,246347,-71.10132949707042,42.36334461514631,441065.0,441311.0,True,True
287,2019-10-12 04:48:56.4710,2019-10-12 04:53:44.1810,107,Ames St at Main St,42.3625,-71.08821999999998,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,2924,Subscriber,1995,1,203988,-71.08749692110743,42.36175462581353,118014,-71.10313278375693,42.35924790949849,449336.0,449624.0,True,True
422,2019-10-12 05:16:43.2480,2019-10-12 05:23:45.6840,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,189,Kendall T,42.362427842912396,-71.08495473861693,4878,Subscriber,2001,1,245937,-71.09397792775782,42.358376181216016,4329,-71.08571551756765,42.360176000300285,451003.0,451425.0,True,True
119,2019-10-12 06:30:18.1340,2019-10-12 06:32:17.2270,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,2753,Subscriber,1992,1,246344,-71.10283562986997,42.36101022899686,85713,-71.10629086501523,42.357742406116465,455418.0,455537.0,True,True
425,2019-10-12 06:36:07.2430,2019-10-12 06:43:12.7810,179,MIT Vassar St,42.35560121327927,-71.10394477844237,107,Ames St at Main St,42.3625,-71.08821999999998,4213,Subscriber,1996,1,161155,-71.1060889,42.3576161,259924,-71.08839542612327,42.36347755726871,455767.0,456192.0,True,True
306,2019-10-12 07:00:15.8190,2019-10-12 07:05:21.9600,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2520,Subscriber,1995,1,69980,-71.0982544784637,42.35935225492901,4325,-71.0934274618204,42.357644907021474,457215.0,457521.0,True,True
315,2019-10-12 07:14:51.9630,2019-10-12 07:20:07.7320,179,MIT Vassar St,42.35560121327927,-71.10394477844237,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,2726,Subscriber,2000,1,4348,-71.10056805402219,42.355157290195976,152966,-71.09371104435867,42.36337263582905,458091.0,458407.0,True,True
243,2019-10-12 07:17:38.7330,2019-10-12 07:21:42.2810,179,MIT Vassar St,42.35560121327927,-71.10394477844237,139,Dana Park,42.361780439606044,-71.10809952020645,6070,Subscriber,1992,1,174565,-71.106982741805,42.35612676631458,135845,-71.11073076924556,42.36236978842091,458258.0,458502.0,True,True
275,2019-10-12 07:43:57.1370,2019-10-12 07:48:32.1970,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5014,Subscriber,1985,1,181978,-71.10001587651828,42.36111281170628,118853,-71.10301322187505,42.36460606942954,459837.0,460112.0,True,True
643,2019-10-12 07:48:17.6700,2019-10-12 07:59:01.5170,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,3132,Subscriber,1993,2,201801,-71.09356732431517,42.35975810091945,165178,-71.11299780562125,42.35969738400178,460097.0,460741.0,True,True
783,2019-10-12 08:06:16.0450,2019-10-12 08:19:19.3940,139,Dana Park,42.361780439606044,-71.10809952020645,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4871,Subscriber,1973,2,133404,-71.1106797696644,42.36021417130097,159112,-71.10672264526896,42.35520355941826,461176.0,461959.0,True,True
284,2019-10-12 08:06:50.5540,2019-10-12 08:11:35.1970,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,179,MIT Vassar St,42.35560121327927,-71.10394477844237,4869,Subscriber,2000,1,257908,-71.09154304799024,42.36022304879693,4349,-71.10193723770344,42.35468678547051,461210.0,461495.0,True,True
304,2019-10-12 08:09:20.8340,2019-10-12 08:14:24.9400,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3231,Subscriber,1997,2,117120,-71.10309868955477,42.36141082086328,117614,-71.10587341685736,42.3646630006048,461360.0,461664.0,True,True
647,2019-10-12 08:10:29.5910,2019-10-12 08:21:17.4010,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3982,Subscriber,2001,1,201816,-71.09322601286955,42.360701286043,259946,-71.10257042514984,42.36538570482482,461429.0,462077.0,True,True
334,2019-10-12 08:11:28.6650,2019-10-12 08:17:02.9770,179,MIT Vassar St,42.35560121327927,-71.10394477844237,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4143,Subscriber,1990,1,175675,-71.10633027770324,42.35573662177271,124918,-71.09382272195718,42.35725043995431,461488.0,461822.0,True,True
687,2019-10-12 08:11:42.4350,2019-10-12 08:23:10.0670,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3132,Subscriber,1993,2,120291,-71.1107569150833,42.35692967303399,201824,-71.09375344290599,42.360189607699375,461502.0,462190.0,True,True
334,2019-10-12 08:12:16.4390,2019-10-12 08:17:50.9700,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,141,Kendall Street,42.36356015842989,-71.08216792345047,4482,Subscriber,1991,1,201805,-71.0923991735748,42.35900790575149,4332,-71.08353676665315,42.36120872579808,461536.0,461870.0,True,True
467,2019-10-12 08:19:48.2620,2019-10-12 08:27:35.2810,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4715,Subscriber,1997,2,160994,-71.1102582573889,42.357000995528274,201804,-71.09277124838573,42.35952966139424,461988.0,462455.0,True,True
562,2019-10-12 08:21:35.6680,2019-10-12 08:30:58.1100,179,MIT Vassar St,42.35560121327927,-71.10394477844237,189,Kendall T,42.362427842912396,-71.08495473861693,4669,Subscriber,1999,1,119896,-71.10706895648731,42.35589517424924,187323,-71.08524969535532,42.36268231835431,462095.0,462658.0,True,True
170,2019-10-12 08:29:31.7660,2019-10-12 08:32:22.4050,177,University Park,42.36264779118595,-71.1000609397888,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,4157,Subscriber,1970,0,69947,-71.09866292026612,42.364404256459174,89956,-71.0997114078923,42.359635307039646,462571.0,462742.0,True,True
